year,country_code,country,gold,silver,bronze,medals_total,iso_code,gdp,population,surface_area,log_gdp,log_population,gdp_per_capita,medals_per_million,host_flag
1980,FIN,FIN,3,1,5,9,FIN,53649984061.205,4779535.0,338150.0,24.70574700893463,15.379853819400871,11224.93800363529,1.8830283699146464,0
1980,FRA,France,18,5,6,29,FRA,694529183483.39,55274184.0,549086.0,27.26650001911237,17.827816522047936,12565.163937714395,0.5246572251523424,0
1980,GBR,United Kingdom,5,18,24,47,GBR,564947710899.373,56314216.0,243610.0,27.05999901672935,17.846457565676534,10032.062080014983,0.8346027582094013,0
1980,GDR,GDR,115,88,61,264,DEU,953772499462.019,78288576.0,356970.0,27.583691009790567,18.175912249933393,12182.780019680255,3.3721395060244803,0
1980,GRE,Greece,1,0,4,5,GRC,56039256594.7242,9642505.0,131960.0,24.74931829270846,16.081691487602107,5811.690696009408,0.5185374547381619,0
1980,GUY,GUY,0,0,1,1,GUY,603200000.0,774367.0,214970.0,20.21775937465802,13.559801200400154,778.9588141023571,1.2913773443341465,0
1980,HUN,Hungary,8,13,40,61,HUN,23116977148.0216,10711122.0,93030.0,23.863833126009723,16.18679319884155,2158.221813552455,5.695014957349939,0
1980,IND,IND,16,0,0,16,IND,186328579302.068,687354025.0,3287260.0,25.950777507523316,20.348360037687648,271.08094595367794,0.023277669756862192,0
1980,IRL,IRL,0,2,1,3,IRL,21747855640.0712,3412800.0,70280.0,23.802780998359573,15.043043626699223,6372.437775454525,0.8790436005625879,0
1980,ITA,ITA,8,21,8,37,ITA,478356755595.749,56433883.0,301340.0,26.89362264167547,17.848580298494138,8476.410450008358,0.6556344882382097,0
1980,JAM,JAM,0,0,3,3,JAM,2679379371.51261,2145658.0,10990.0,21.708851026857097,14.578956823209815,1248.7448472741742,1.3981724953370946,0
1980,MEX,MEX,0,1,9,10,MEX,205577055465.993,67300334.0,1964380.0,26.04908676637186,18.02467575745554,3054.621622917845,0.14858767268524997,0
1980,MGL,MGL,0,2,2,4,MNG,2101394100.0,1701335.0,1564120.0,21.465866818562965,14.346923794961997,1235.1442249762686,2.351094875494832,0
1980,NED,NED,0,1,5,6,NLD,195439301706.939,14149800.0,41530.0,25.998515690961447,16.46521104767801,13812.160009819148,0.424034261968367,0
1980,SUI,Switzerland,2,0,0,2,CHE,122557843886.137,6319408.0,41290.7,25.531848950471094,15.659136090849573,19393.880548009718,0.31648534166491543,0
1980,SWE,SWE,3,8,9,20,SWE,141886067003.972,8310531.0,447420.11,25.678290227454163,15.933034063707149,17073.04467114941,2.406585090651849,0
1980,UGA,UGA,0,1,0,1,UGA,1244610000.0,13275741.0,241550.0,20.94208806477706,16.40144894274348,93.75069911351841,0.07532536225284901,0
1980,VEN,VEN,0,1,0,1,VEN,59116511627.907,15258218.0,912050.0,24.80277610690482,16.540628801117084,3874.404706231553,0.06553845278655739,0
1980,ZIM,ZIM,15,0,0,15,ZWE,6682278300.2622,7041303.0,390760.0,22.622724829259734,15.76730379623534,949.0116105303522,2.130287533429537,0
1984,AUS,Australia,7,14,31,52,AUS,193749932078.26,15579391.0,7741220.0,25.989834154615988,16.561459509067802,12436.296905203804,3.337742791101398,0
1984,AUT,Austria,1,1,1,3,AUT,67719055773.3306,7561434.0,83879.0,24.938633451015065,15.83857141270794,8955.848291915343,0.39675014025117455,0
1984,BEL,BEL,1,2,2,5,BEL,83349530159.1734,9855372.0,33120.0,25.1463088091648,16.10352724519292,8457.268803163737,0.5073375211001675,0
1984,BRA,BRA,1,33,2,36,BRA,188339974086.58,132658864.0,8515770.0,25.961514539439808,18.703291458780637,1419.7315460697748,0.2713727444552819,0
1984,CAN,CAN,19,36,32,87,CAN,356718400123.543,25607053.0,15640500.0,26.600212512291296,17.058378379316984,13930.474550255472,3.3975014618042927,0
1984,CHN,CHN,24,13,37,74,CHN,260442857142.857,1036825000.0,9562950.0,26.285649315700518,20.7594289959259,251.1926864638266,0.07137173582812915,0
1984,CIV,CIV,0,1,0,1,CIV,6841639246.8996,9650516.0,322460.0,22.646293195847438,16.08252194338821,708.9402521999446,0.10362140221310447,0
1984,CMR,CMR,0,0,1,1,CMR,7311938026.36713,9475078.0,475440.0,22.712774195456095,16.064175541088854,771.7021460263578,0.10554002827206277,0
1984,COL,COL,0,1,0,1,COL,38253120737.9671,28642690.0,1141750.0,24.36749098181155,17.170408820227088,1335.5282181236155,0.03491292193575394,0
1984,DEN,Denmark,0,3,10,13,DNK,58868891334.9941,5111619.0,42920.0,24.798578627381765,15.447026741745539,11516.682157843552,2.5432255416532414,0
1984,DOM,DOM,0,0,1,1,DOM,11594000000.0,6289040.0,48670.0,23.173753559863954,15.65431899381707,1843.5246078892803,0.1590067800491013,0
1984,EGY,EGY,0,1,0,1,EGY,33971188991.6147,49247334.0,1001450.0,24.248778619731418,17.712365792137486,689.8076755102053,0.020305667713911173,0
1984,ESP,ESP,2,14,3,19,ESP,171979977230.387,38330364.0,505990.0,25.870643895532286,17.4617529337896,4486.781738633815,0.4956905705356725,0
1984,FIN,FIN,4,2,6,12,FIN,52870993272.6553,4881803.0,338150.0,24.691120694092294,15.401025176806241,10830.218522266321,2.4581082030553056,0
1984,FRA,France,20,16,31,67,FRA,525033325827.516,56383085.0,549086.0,26.986727575290104,17.847679760138366,9311.894264521283,1.188299646959722,0
1984,GBR,United Kingdom,9,20,42,71,GBR,461487097632.349,56422072.0,243610.0,26.8577199330388,17.84837098742955,8179.194440649911,1.2583727871603156,0
1984,GRE,Greece,0,1,1,2,GRC,47352146311.971,9895801.0,131960.0,24.580877984209497,16.107621083717266,4785.074630337756,0.20210592351240692,0
1984,IRL,IRL,0,1,0,1,IRL,20106648454.8404,3532423.0,70280.0,23.724316366217003,15.077494595709476,5692.027385972858,0.2830918041242513,0
1984,ISL,ISL,0,0,1,1,ISL,2964568005.62888,239511.0,103000.0,21.8099971608482,12.38635462379719,12377.586021639423,4.1751735828417065,0
1984,ITA,ITA,29,6,28,63,ITA,438896930791.272,56576718.0,301340.0,26.807530440659374,17.851108115792588,7757.553748368224,1.113532248371141,0
1984,JAM,JAM,0,5,2,7,JAM,2373564549.4932,2264562.0,10990.0,21.587658691496188,14.632891920715991,1048.1340539553344,3.0911054764674137,0
1984,JPN,JPN,10,8,31,49,JPN,1345824500836.76,120083000.0,377800.0,27.928027952941928,18.60369372832184,11207.452352429236,0.40805109799055655,0
1984,KEN,KEN,1,0,2,3,KEN,6191437070.18411,18514906.0,580370.0,22.546433056663084,16.73408669535234,334.40283575753017,0.16203160847805545,0
1984,KOR,KOR,6,28,7,41,KOR,99749645088.5994,40405956.0,99260.0,25.325929334701026,17.514487757807846,2468.6866730389797,1.0147018919686,0
1984,MAR,MAR,2,0,0,2,MAR,14824667954.3674,21593778.0,446550.0,23.419558383897574,16.887915775602867,686.524977443382,0.09261927208846919,0
1984,MEX,MEX,2,3,1,6,MEX,184230754105.394,73506846.0,1964380.0,25.939454907229727,18.11288910270268,2506.3074275475515,0.08162505027082784,0
1984,NED,NED,20,7,14,41,NLD,144124462912.088,14424211.0,41530.0,25.69394308898637,16.484418672155414,9991.843776556514,2.842443167255387,0
1984,NGR,NGR,0,1,4,5,NGA,73484359521.4887,82526443.0,923770.0,25.020338424894998,18.22862932116108,890.4341063323023,0.060586641302352015,0
1984,NOR,NOR,0,1,3,4,NOR,62057955032.7758,4140099.0,385178.0,24.851334543969912,15.236230258559063,14989.485766590558,0.9661604710418761,0
1984,NZL,NZL,16,1,6,23,NZL,21665975318.8842,3227100.0,267710.0,23.799008909305666,14.987094459088206,6713.760131041555,7.127142016051563,0
1984,PAK,PAK,16,0,0,16,PAK,31151825467.4978,95164936.0,796100.0,24.162138682950705,18.37112211258764,327.34562515229135,0.16812915210703236,0
1984,PER,PER,0,1,0,1,PER,17600400384.5073,19174716.0,1285220.0,23.591187487851492,16.76910309415615,917.8962746831453,0.05215201101283586,0
1984,POR,POR,1,0,2,3,PRT,25217969049.5755,9996232.0,92120.0,23.9508226348819,16.117718779951364,2522.747476206585,0.30011308260952724,0
1984,SUI,Switzerland,0,9,4,13,CHE,109455312167.511,6441865.0,41290.7,25.418782194844947,15.678328652428922,16991.24588415172,2.018049120867947,0
1984,SWE,SWE,3,18,13,34,SWE,109043045407.287,8336605.0,447420.11,25.415008553211795,15.93616661711715,13080.030229006532,4.078398820623024,0
1984,SYR,SYR,0,1,0,1,SYR,17503078174.0039,10258398.0,185180.0,23.58564259806542,16.143607245164848,1706.2194481052402,0.09748110767392724,0
1984,THA,THA,0,1,0,1,THA,41797647775.6238,49351708.0,513120.0,24.456105901583285,17.714482933173933,846.9341684308839,0.020262723227329842,0
1984,TUR,TUR,0,0,3,3,TUR,59937602179.8365,49574069.0,785350.0,24.816569894361695,17.718978452566965,1209.0514938331269,0.06051550862205803,0
1984,USA,United States,186,116,50,352,USA,4037613000000.0,235825000.0,9629090.0,29.026674791701776,19.27860056250019,17121.22548499947,1.492632248489346,1
1984,VEN,VEN,0,0,3,3,VEN,59867743467.9335,17008841.0,912050.0,24.815403690642775,16.649243825660296,3519.801464893081,0.17637886085242374,0
1984,ZAM,ZAM,0,0,1,1,ZMB,2719518932.99541,6580490.0,752610.0,21.7237208387429,15.699619768613996,413.26997427173507,0.1519643673951332,0
1988,ARG,ARG,0,1,12,13,ARG,126890235049.092,31780532.0,2780400.0,25.5665882587382,17.274364459020838,3992.7033017915496,0.4090554557110624,0
1988,AUS,Australia,18,6,11,35,AUS,236461079970.431,16532164.0,7741220.0,26.189049464614587,16.620818374719406,14303.093047615,2.1170852164302265,0
1988,AUT,Austria,1,0,0,1,AUT,132817124707.456,7585317.0,83879.0,25.612239016785626,15.84172496290399,17509.765868381768,0.1318336465041606,0
1988,BEL,BEL,0,0,2,2,BEL,162299103675.261,9901664.0,33120.0,25.81270678881006,16.108213381788904,16391.093827791065,0.20198625200774334,0
1988,BRA,BRA,1,17,5,23,BRA,307881930752.268,143826357.0,8515770.0,26.452982204712352,18.78411727574647,2140.6502756116392,0.1599150564593665,0
1988,BUL,BUL,10,14,17,41,BGR,22555941176.4706,8981446.0,110990.0,23.839264334999605,16.010671451814215,2511.3930625948874,4.564966487578949,0
1988,CAN,CAN,4,5,14,23,CAN,509380027626.554,26791747.0,15640500.0,26.956460191079927,17.10360445029424,19012.57232783491,0.858473320160869,0
1988,CHI,CHI,0,1,0,1,CHL,26174858613.8456,12999424.0,756096.0,23.988065192116146,16.38041560675189,2013.5398779088673,0.07692648535812048,0
1988,CHN,CHN,6,16,30,52,CHN,312888888888.889,1101630000.0,9562950.0,26.469113976888124,20.820056738123373,284.02357314968634,0.04720278133311547,0
1988,COL,COL,0,0,1,1,COL,39212550050.4223,31130524.0,1141750.0,24.39226268685187,17.253699374913452,1259.6174112078004,0.032122812966463396,0
1988,DEN,Denmark,3,1,3,7,DNK,115540189705.118,5129516.0,42920.0,25.472884269198115,15.45052186571744,22524.579259547685,1.3646511678684694,0
1988,DJI,DJI,0,0,1,1,DJI,395794538.630775,484523.0,23200.0,19.796405792732273,13.090920180806444,816.8746140653282,2.0638855121428707,0
1988,ESP,ESP,1,2,2,5,ESP,375891716897.586,38766939.0,505990.0,26.65256695188559,17.47307835373162,9696.192853853796,0.1289758781316214,0
1988,FIN,FIN,1,1,2,4,FIN,109039090262.971,4946481.0,338150.0,25.414972281150316,15.41418697263827,22043.770159628835,0.8086556887613638,0
1988,FRA,France,12,4,13,29,FRA,1010827662151.75,57598186.0,549086.0,27.641790578678542,17.869001632114646,17549.64404871622,0.5034880786002531,0
1988,GBR,United Kingdom,22,17,15,54,GBR,910122732123.799,56928327.0,243610.0,27.536845297828815,17.85730361352901,15987.168077568816,0.9485611618272218,0
1988,GDR,GDR,79,54,48,181,DEU,1406367016371.53,78144619.0,356970.0,27.972030911079223,18.174071757694687,17996.97835076181,2.3162183438375967,0
1988,GRE,Greece,0,0,1,1,GRC,75200610136.9205,10036983.0,131960.0,25.04342518139217,16.121787129061318,7492.352048112516,0.09963153270260595,0
1988,HUN,Hungary,20,9,15,44,HUN,29799838597.4079,10596487.0,93030.0,24.117768814248738,16.176033089057835,2812.237546028972,4.1523195375976965,0
1988,INA,INA,0,3,0,3,IDN,84300174485.7973,176855065.0,1910930.0,25.157649771771737,18.990841113296117,476.6624834058176,0.016963042590835607,0
1988,IRI,IRI,0,1,0,1,IRN,123057861333.908,55072694.0,1745150.0,25.53592049905612,17.82416457959907,2234.462351413352,0.01815781882760266,0
1988,ITA,ITA,11,10,8,29,ITA,893663934840.821,56629288.0,301340.0,27.518595629636206,17.852036865169698,15780.949512217441,0.5121025007413126,0
